YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2011,Toyota,Toyota Etios Liva G,75528,Petrol,1st owner,Manual,2.38,11203,Mumbai
2011,Maruti,Maruti Ritz VXI,43564,Petrol,1st owner,Manual,1.67,7861,New Delhi
2011,Hyundai,Hyundai i10 MAGNA 1.1,70589,Petrol,2nd owner,Manual,2.4,11298,Banglore
2011,Toyota,Toyota Etios Liva G,75528,Petrol,1st owner,Manual,2.38,11203,Hyderabad
2011,Maruti,Maruti Swift VXI,28878,Petrol,1st owner,Manual,2.23,10513,New Delhi
2011,Hyundai,Hyundai i10 MAGNA 1.2,65182,Petrol,2nd owner,Manual,1.94,9132,New Delhi
2011,Toyota,Toyota Etios G,101706,Petrol,1st owner,Manual,2.07,9744,New Delhi
2011,Hyundai,Hyundai i20 SPORTZ (O) 1.2,65841,Petrol,2nd owner,Manual,2.97,13981,Banglore
2011,Toyota,Toyota Etios VX,71433,Petrol,1st owner,Manual,2.11,9942,New Delhi
2011,Toyota,Toyota Etios V,83914,Petrol,1st owner,Manual,1.93,9085,New Delhi
2011,Hyundai,Hyundai i20 SPORTZ 1.2,52366,Petrol,2nd owner,Manual,3.26,15346,Banglore
2011,Hyundai,Hyundai i20 SPORTZ 1.2,99718,Petrol,1st owner,Manual,2.12,9980,New Delhi
2012,Maruti,Maruti Wagon R 1.0 VXI,75057,Petrol,2nd owner,Manual,1.9,6311,New Delhi
2012,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT EX,52744,Petrol,1st owner,Automatic,3.35,11127,New Delhi
2012,Hyundai,Hyundai i20 ASTA 1.2,32516,Petrol,1st owner,Manual,3.02,10031,Hyderabad
2012,Toyota,Toyota Etios G,108059,Petrol,1st owner,Manual,2.09,6942,New Delhi
2012,Maruti,Maruti Ertiga LXI,56700,Petrol,1st owner,Manual,3.57,11858,New Delhi
2012,Hyundai,Hyundai i20 ASTA 1.2,32516,Petrol,1st owner,Manual,3.02,10031,Mumbai
2012,Honda,Honda Brio S MT,81976,Petrol,2nd owner,Manual,2.68,8890,Banglore
2012,Maruti,Maruti Swift Dzire VXI,54388,Petrol,1st owner,Manual,2.75,9134,New Delhi
2012,Maruti,Maruti Swift Dzire VXI,43592,Petrol,2nd owner,Manual,2.37,7872,New Delhi
2012,Toyota,Toyota Etios G,52370,Petrol,1st owner,Manual,2.58,8569,New Delhi
2012,Maruti,Maruti Ertiga ZDI,78546,Diesel,1st owner,Manual,5.74,27020,Banglore
2012,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT EX,75441,Petrol,2nd owner,Automatic,3.25,10795,New Delhi
2012,Maruti,Maruti Wagon R 1.0 LXI CNG,47281,CNG,2nd owner,Manual,2.36,20968,Mumbai
2012,Honda,Honda City 1.5L I-VTEC S MT,87836,Petrol,2nd owner,Manual,3.9,12947,Banglore
2012,Hyundai,Hyundai i10 MAGNA 1.2,50258,Petrol,1st owner,Manual,2.1,6975,Mumbai
2012,Hyundai,Hyundai i10 SPORTZ 1.2,66034,Petrol,1st owner,Manual,2.16,7174,New Delhi
2012,Hyundai,Hyundai i20 SPORTZ 1.2,52538,Petrol,2nd owner,Manual,4.01,13315,Banglore
2012,Hyundai,Hyundai i10 SPORTZ 1.2,65885,Petrol,2nd owner,Manual,2.05,6809,New Delhi
2012,Hyundai,Hyundai i10 MAGNA 1.2,50258,Petrol,1st owner,Manual,2.1,6975,Hyderabad
2012,Hyundai,Hyundai i10 MAGNA 1.1,7624,Petrol,2nd owner,Manual,2.0,6643,New Delhi
2012,Maruti,Maruti Ertiga ZDI,106213,Diesel,1st owner,Manual,5.64,26549,Banglore
2012,Maruti,Maruti Wagon R 1.0 VXI,73114,Petrol,2nd owner,Manual,2.73,9060,Banglore
2012,Maruti,Maruti Wagon R 1.0 LXI CNG,47281,CNG,2nd owner,Manual,2.36,20968,Hyderabad
2012,Maruti,Maruti Ertiga VDI,67677,Diesel,2nd owner,Manual,5.86,27585,Banglore
2012,Honda,Honda Jazz 1.2L I-VTEC X,32864,Petrol,2nd owner,Manual,3.29,10937,Banglore
2013,Maruti,Maruti Ertiga VXI CNG,93025,CNG,1st owner,Manual,5.53,26032,Hyderabad
2013,Honda,Honda City 1.5L I-VTEC V AT SUNROOF,114163,Petrol,2nd owner,Automatic,3.93,10354,Hyderabad
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT SX,28229,Petrol,1st owner,Automatic,3.97,10455,Hyderabad
2013,Honda,Honda Amaze 1.2L I-VTEC S,47742,Petrol,1st owner,Manual,2.78,7321,Hyderabad
2013,Maruti,Maruti Alto 800 LXI,22080,Petrol,2nd owner,Manual,1.85,4872,New Delhi
