YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2018,Maruti,Maruti Alto K10 VXI,23787,Petrol,1st owner,Manual,3.74,7312,Banglore
2017,Renault,Renault Duster 85 PS RXZ DIESEL,71918,Diesel,2nd owner,Manual,7.24,14154,Banglore
2016,Maruti,Maruti Alto K10 VXI,65574,Petrol,3rd owner,Manual,3.18,6217,Banglore
2022,Maruti,Maruti Baleno DELTA PETROL 1.2,23050,Petrol,1st owner,Manual,6.82,13333,Banglore
2020,Renault,Renault Kwid RXT 1.0 AMT (O),24812,Petrol,1st owner,Manual,4.83,9435,Banglore
2016,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),43248,Petrol,1st owner,Manual,6.58,12861,Banglore
2023,Tata,Tata ALTROZ XZ I-TURBO PETROL,15145,Petrol,1st owner,Manual,8.52,16217,Banglore
2021,Renault,Renault TRIBER RXL MT,54414,Petrol,1st owner,Manual,5.64,11026,Banglore
2019,KIA,KIA SELTOS HTK PLUS 1.5 DIESEL,40508,Diesel,2nd owner,Manual,11.07,21071,Banglore
2013,Hyundai,Hyundai i10 SPORTZ 1.2,97083,Petrol,1st owner,Manual,3.25,8558,Banglore
2022,Tata,Tata ALTROZ XZ I-TURBO PETROL,16535,Petrol,1st owner,Manual,8.28,15760,Banglore
2022,Tata,Tata ALTROZ XZA PLUS,16221,Petrol,1st owner,Manual,8.46,16103,Banglore
2018,Volkswagen,Volkswagen Ameo HIGHLINE PLUS 1.5L AT 16 ALLOY,63741,Diesel,2nd owner,Automatic,6.69,13079,Banglore
2017,Maruti,Maruti Celerio ZXI,38004,Petrol,2nd owner,Manual,4.26,8328,Banglore
2021,Renault,Renault TRIBER RXZ,37624,Petrol,1st owner,Manual,6.63,12962,Banglore
2023,Maruti,Maruti IGNIS ZETA 1.2,19638,Petrol,1st owner,Manual,6.47,12649,Banglore
2015,Hyundai,Hyundai Creta SX PLUS AT 1.6 DIESEL,106215,Diesel,1st owner,Automatic,8.35,18155,Banglore
2020,Tata,Tata NEXON XZA PLUS (O) PETROL DUAL TONE,45096,Petrol,1st owner,Manual,9.45,17987,Banglore
2019,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,50441,Petrol,1st owner,Automatic,5.34,10440,Banglore
2021,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,30322,Petrol,1st owner,Automatic,9.79,18634,Banglore
2018,Hyundai,Hyundai NEW SANTRO SPORTZ MT,44864,Petrol,1st owner,Manual,4.36,8524,Banglore
2021,Tata,Tata Tiago XZA PLUS DUAL TONE PETROL,31090,Petrol,1st owner,Manual,6.5,12708,Banglore
2018,Honda,Honda WR-V 1.2L I-VTEC S MT,58548,Petrol,2nd owner,Manual,5.88,11496,Banglore
2016,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,69273,Petrol,2nd owner,Manual,8.09,15399,Banglore
2018,Renault,Renault Kwid RXT 0.8,39187,Petrol,2nd owner,Manual,2.98,5826,Banglore
2021,Datsun,Datsun Redi Go T(O) 1.0,20686,Petrol,1st owner,Manual,4.4,8602,Banglore
2020,Honda,Honda City 1.5L I-VTEC VX CVT,36093,Petrol,2nd owner,Automatic,11.9,22643,Banglore
2016,Maruti,Maruti Swift VXI,68356,Petrol,1st owner,Manual,5.37,10498,Banglore
2020,KIA,KIA SELTOS HTK 1.5 DIESEL,51041,Diesel,2nd owner,Manual,10.61,20195,Banglore
2018,Honda,Honda City 1.5L I-VTEC ZX CVT,25751,Petrol,1st owner,Automatic,10.31,19618,Banglore
2017,Maruti,Maruti Wagon R 1.0 VXI AMT,44109,Petrol,2nd owner,Manual,4.5,8798,Banglore
2019,Honda,Honda City 1.5L I-VTEC VX CVT,34447,Petrol,1st owner,Automatic,10.55,20081,Banglore
2020,Maruti,Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,45065,Petrol,1st owner,Automatic,8.52,16214,Banglore
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,28495,Petrol,2nd owner,Automatic,11.2,21318,Banglore
2014,Mahindra,Mahindra XUV500 W6,119125,Diesel,3rd owner,Manual,6.7,17644,Banglore
2019,Hyundai,Hyundai VENUE SX (O) 1.5 CRDI,52061,Diesel,2nd owner,Manual,9.3,17702,Banglore
2020,Maruti,Maruti S PRESSO VXI+,36650,Petrol,1st owner,Manual,4.17,8152,Banglore
2022,Tata,Tata PUNCH CREATIVE AMT,45037,Petrol,1st owner,Manual,8.01,15246,Banglore
2019,Datsun,Datsun Redi Go T(O) 1.0,15881,Petrol,2nd owner,Manual,3.05,5968,Banglore
2022,Tata,Tata Harrier XZA PLUS 2.0L DUAL TONE,32613,Diesel,2nd owner,Manual,17.08,32503,Banglore
2018,Hyundai,Hyundai NEW SANTRO SPORTZ MT,44864,Petrol,1st owner,Manual,4.36,8524,Banglore
2021,Tata,Tata Tiago XZA PLUS DUAL TONE PETROL,31090,Petrol,1st owner,Manual,6.5,12708,Banglore
2018,Honda,Honda WR-V 1.2L I-VTEC S MT,58548,Petrol,2nd owner,Manual,5.88,11496,Banglore
2016,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,69273,Petrol,2nd owner,Manual,8.09,15399,Banglore
2018,Renault,Renault Kwid RXT 0.8,39187,Petrol,2nd owner,Manual,2.98,5826,Banglore
2021,Datsun,Datsun Redi Go T(O) 1.0,20686,Petrol,1st owner,Manual,4.4,8602,Banglore
2020,Honda,Honda City 1.5L I-VTEC VX CVT,36093,Petrol,2nd owner,Automatic,11.9,22643,Banglore
2016,Maruti,Maruti Swift VXI,68356,Petrol,1st owner,Manual,5.37,10498,Banglore
2020,KIA,KIA SELTOS HTK 1.5 DIESEL,51041,Diesel,2nd owner,Manual,10.61,20195,Banglore
2018,Honda,Honda City 1.5L I-VTEC ZX CVT,25751,Petrol,1st owner,Automatic,10.31,19618,Banglore
2017,Maruti,Maruti Wagon R 1.0 VXI AMT,44109,Petrol,2nd owner,Manual,4.5,8798,Banglore
2019,Honda,Honda City 1.5L I-VTEC VX CVT,34447,Petrol,1st owner,Automatic,10.55,20081,Banglore
2020,Maruti,Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,45065,Petrol,1st owner,Automatic,8.52,16214,Banglore
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,28495,Petrol,2nd owner,Automatic,11.2,21318,Banglore
2014,Mahindra,Mahindra XUV500 W6,119125,Diesel,3rd owner,Manual,6.7,17644,Banglore
2019,Hyundai,Hyundai VENUE SX (O) 1.5 CRDI,52061,Diesel,2nd owner,Manual,9.3,17702,Banglore
2020,Maruti,Maruti S PRESSO VXI+,36650,Petrol,1st owner,Manual,4.17,8152,Banglore
2022,Tata,Tata PUNCH CREATIVE AMT,45037,Petrol,1st owner,Manual,8.01,15246,Banglore
