YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2016,Honda,Honda BR-V 1.5L I-VTEC V,76286,Petrol,2nd owner,Manual,6.08,11887,Hyderabad
2015,Volkswagen,Volkswagen Polo COMFORTLINE 1.2L,66334,Petrol,2nd owner,Manual,3.55,6940,Hyderabad
2016,Tata,Tata Tiago XZ PETROL,33601,Petrol,1st owner,Manual,3.75,7331,Hyderabad
2022,KIA,KIA SELTOS GTX (O) 1.4,23265,Petrol,1st owner,Manual,13.68,26039,Hyderabad
2019,Tata,Tata Harrier XZ 2.0L,57247,Diesel,1st owner,Manual,11.94,22727,Hyderabad
2022,Renault,Renault TRIBER RXZ AMT,55853,Petrol,1st owner,Manual,5.87,11476,Hyderabad
2021,Tata,Tata NEXON XM PETROL,16444,Petrol,1st owner,Manual,7.57,14799,Hyderabad
2018,Honda,Honda City 1.5L I-VTEC SV,29156,Petrol,2nd owner,Manual,5.84,11417,Hyderabad
2016,Ford,Ford Ecosport TREND+ 1.5L DIESEL,76000,Diesel,1st owner,Manual,5.7,11144,Hyderabad
2017,Maruti,Maruti Swift VXI,74579,Petrol,1st owner,Manual,4.57,8934,Hyderabad
2017,Honda,Honda City 1.5L I-VTEC SV,36568,Petrol,1st owner,Manual,6.28,12278,Hyderabad
2022,Tata,Tata NEXON XM PETROL,5448,Petrol,2nd owner,Manual,7.37,14408,Hyderabad
2020,Tata,Tata NEXON XMA SUNROOF DIESEL,63920,Diesel,2nd owner,Manual,8.12,15452,Hyderabad
2022,Tata,Tata Tiago XZA PLUS PETROL,16366,Petrol,1st owner,Manual,6.4,12512,Hyderabad
2018,Maruti,Maruti IGNIS ZETA 1.2 AMT,76907,Petrol,2nd owner,Manual,4.25,8309,Hyderabad
2017,Maruti,Maruti Baleno ALPHA PETROL 1.2,36529,Petrol,1st owner,Manual,5.36,10479,Hyderabad
2020,Tata,Tata NEXON XZA PLUS SUNROOF DIESEL,75603,Diesel,2nd owner,Manual,8.96,17055,Hyderabad
2021,Hyundai,Hyundai VENUE SX 1.0 TURBO IMT,16374,Petrol,1st owner,Manual,8.85,16845,Hyderabad
2019,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,43518,Petrol,1st owner,Automatic,8.5,16179,Hyderabad
2021,Hyundai,Hyundai VENUE SX 1.0 TURBO IMT,10007,Petrol,2nd owner,Manual,8.46,16103,Hyderabad
2017,Maruti,Maruti Baleno ZETA DIESEL 1.3,107730,Diesel,2nd owner,Manual,4.95,11007,Hyderabad
2022,Maruti,Maruti New Wagon-R VXI 1.0 AMT,28720,Petrol,1st owner,Manual,5.69,11124,Hyderabad
2019,Volkswagen,Volkswagen Ameo COMFORTLINE 1.0L,34651,Petrol,2nd owner,Manual,4.65,9089,Hyderabad
2023,Maruti,Maruti New Wagon-R VXI 1.0 AMT,3883,Petrol,1st owner,Manual,6.45,12610,Hyderabad
2019,Honda,Honda City 1.5L I-VTEC VX CVT,54825,Petrol,1st owner,Automatic,8.44,16061,Hyderabad
2014,Volkswagen,Volkswagen Vento HIGHLINE 1.6 MPI,92524,Petrol,1st owner,Manual,3.53,7852,Hyderabad
2023,Tata,Tata PUNCH CREATIVE AMT,9979,Petrol,1st owner,Manual,8.25,15703,Hyderabad
2017,Maruti,Maruti IGNIS DELTA 1.2 AMT,24768,Petrol,2nd owner,Manual,4.45,8700,Hyderabad
2014,Volkswagen,Volkswagen Polo HIGHLINE1.2L,100739,Petrol,2nd owner,Manual,3.29,7318,Hyderabad
2014,Maruti,Maruti Alto K10 VXI,31880,Petrol,2nd owner,Manual,2.07,4605,Hyderabad
2016,Volkswagen,Volkswagen Ameo HIGHLINE1.2L,12091,Petrol,1st owner,Manual,4.61,9007,Hyderabad
2014,Hyundai,Hyundai i20 SPORTZ 1.2,35512,Petrol,2nd owner,Manual,3.66,8141,Hyderabad
2015,Mahindra,Mahindra XUV500 W6,40663,Diesel,1st owner,Manual,6.52,14503,Hyderabad
2022,Nissan,Nissan MAGNITE XV MT,33161,Petrol,1st owner,Manual,6.26,12238,Hyderabad
2013,Maruti,Maruti Swift Dzire VXI,33355,Petrol,1st owner,Manual,3.6,9480,Hyderabad
2020,Maruti,Maruti Dzire ZXI PLUS AMT,56042,Petrol,2nd owner,Manual,5.98,11691,Hyderabad
2021,Volkswagen,Volkswagen TAIGUN HIGHLINE 1.0 TSI AT,49409,Petrol,1st owner,Automatic,11.5,21889,Hyderabad
2017,Hyundai,Hyundai Elite i20 SPORTZ 1.2,19288,Petrol,1st owner,Manual,5.11,9990,Hyderabad
2018,Renault,Renault Kwid RXT 1.0 AMT (O),38847,Petrol,1st owner,Manual,3.48,6803,Hyderabad
2016,Maruti,Maruti Ciaz ZXI+ AT,90756,Petrol,1st owner,Automatic,5.17,10107,Hyderabad
2017,Maruti,Maruti Baleno ZETA DIESEL 1.3,107730,Diesel,2nd owner,Manual,4.95,11007,Hyderabad
2022,Maruti,Maruti New Wagon-R VXI 1.0 AMT,28720,Petrol,1st owner,Manual,5.69,11124,Hyderabad
2019,Volkswagen,Volkswagen Ameo COMFORTLINE 1.0L,34651,Petrol,2nd owner,Manual,4.65,9089,Hyderabad
2023,Maruti,Maruti New Wagon-R VXI 1.0 AMT,3883,Petrol,1st owner,Manual,6.45,12610,Hyderabad
2019,Honda,Honda City 1.5L I-VTEC VX CVT,54825,Petrol,1st owner,Automatic,8.44,16061,Hyderabad
2014,Volkswagen,Volkswagen Vento HIGHLINE 1.6 MPI,92524,Petrol,1st owner,Manual,3.53,7852,Hyderabad
2023,Tata,Tata PUNCH CREATIVE AMT,9979,Petrol,1st owner,Manual,8.25,15703,Hyderabad
2017,Maruti,Maruti IGNIS DELTA 1.2 AMT,24768,Petrol,2nd owner,Manual,4.45,8700,Hyderabad
