YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2020,Mahindra,Mahindra Thar LX D 4WD MT CONVERTIBLE,11003,Diesel,1st owner,Manual,11.05,21033,New Delhi
2022,Tata,Tata Harrier XT PLUS 2.0L KRYOTEC DARK EDITON,27990,Diesel,1st owner,Manual,13.93,26514,New Delhi
2020,Mahindra,Mahindra Scorpio S11 2WD,38553,Diesel,1st owner,Manual,14.27,27162,New Delhi
2022,Mahindra,Mahindra XUV700 AX 7 LUXURY D AWD AT 7 STR,62839,Diesel,1st owner,Automatic,20.5,39020,New Delhi
2019,Ford,Ford Ecosport TITANIUM + 1.5L PETROL AT,58902,Petrol,1st owner,Automatic,7.47,14604,New Delhi
2014,Maruti,Maruti Alto K10 VXI AMT,71297,Petrol,1st owner,Manual,2.61,5805,New Delhi
2022,Honda,Honda Amaze 1.2L I-VTEC S,15935,Petrol,1st owner,Manual,7.0,13685,New Delhi
2022,MG,MG HECTOR SHARP 1.5 PETROL CVT,26999,Petrol,1st owner,Automatic,15.45,29408,New Delhi
2017,Honda,Honda City 1.5L I-VTEC ZX CVT,65434,Petrol,2nd owner,Automatic,7.6,14858,New Delhi
2020,Hyundai,Hyundai Verna SX 1.5 CRDI,50045,Diesel,1st owner,Manual,9.57,18220,New Delhi
2018,Ford,Ford FREESTYLE TITANIUM PLUS 1.2 PETROL,66729,Petrol,1st owner,Manual,4.86,9501,New Delhi
2020,Maruti,Maruti Ciaz S 1.5 MT PETROL,24961,Petrol,1st owner,Manual,8.23,15665,New Delhi
2019,Maruti,Maruti Alto LXI O,60452,Petrol,1st owner,Manual,3.09,6041,New Delhi
2017,Hyundai,Hyundai Verna 1.6 VTVT SX O,94020,Petrol,1st owner,Automatic,8.31,15817,New Delhi
2021,Mahindra,Mahindra XUV500 W7 AT,25366,Diesel,1st owner,Automatic,12.13,23088,New Delhi
2020,Maruti,Maruti S PRESSO VXI CNG,75502,CNG,1st owner,Manual,4.3,8411,New Delhi
2022,Tata,Tata NEXON XZ PLUS PETROL,22894,Petrol,1st owner,Manual,8.86,16864,New Delhi
2018,Maruti,Maruti Ciaz ALPHA 1.5 SHVS PETROL,76156,Petrol,1st owner,Manual,6.79,13275,New Delhi
2017,Hyundai,Hyundai Xcent SX 1.2,61102,Petrol,1st owner,Manual,4.56,8915,New Delhi
2023,Tata,Tata Tiago XT (O) PETROL,17297,Petrol,1st owner,Manual,5.57,10889,New Delhi
2020,Renault,Renault TRIBER RXZ,34727,Petrol,1st owner,Manual,5.94,11618,New Delhi
2018,Maruti,Maruti Ciaz DELTA AT 1.5 SHVS PETROL,45396,Petrol,2nd owner,Automatic,6.47,12649,New Delhi
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,28221,Petrol,1st owner,Automatic,4.42,8641,New Delhi
2022,Maruti,Maruti XL6 ALPHA PLUS MT,43851,Petrol,1st owner,Manual,11.25,21413,New Delhi
2020,Hyundai,Hyundai NEW SANTRO SPORTZ CNG,63272,CNG,1st owner,Manual,5.04,9845,New Delhi
2019,Maruti,Maruti Ciaz ALPHA 1.5 SHVS PETROL,59733,Petrol,1st owner,Manual,6.78,13255,New Delhi
2019,Maruti,Maruti Ciaz DELTA AT 1.5 SHVS PETROL,39903,Petrol,1st owner,Automatic,7.76,15171,New Delhi
2022,Volkswagen,Volkswagen VIRTUS COMFORTLINE TSI 1.0 MT,28094,Petrol,1st owner,Manual,9.18,17473,New Delhi
2020,MG,MG HECTOR SUPER 1.5 PETROL,27061,Petrol,1st owner,Manual,10.98,20899,New Delhi
2023,Volkswagen,Volkswagen VIRTUS HIGHLINE TSI 1.0 AT,9083,Petrol,1st owner,Automatic,13.53,25753,New Delhi
2020,Maruti,Maruti Celerio LXI (O),55459,Petrol,1st owner,Manual,3.74,7312,New Delhi
2022,Tata,Tata PUNCH ACCOMPLISHED MT,21955,Petrol,1st owner,Manual,6.64,12973,New Delhi
2019,Maruti,Maruti Eeco 5 STR WITH A/C+HTR,43731,Petrol,1st owner,Manual,3.91,7639,New Delhi
2020,Mahindra,Mahindra KUV 100 NXT K2+ P 6 STR,19376,Petrol,1st owner,Manual,4.33,8465,New Delhi
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT EX,75537,Petrol,1st owner,Automatic,3.61,9507,New Delhi
2022,Maruti,Maruti Swift ZXI PLUS,24626,Petrol,1st owner,Manual,7.57,14792,New Delhi
2022,Nissan,Nissan MAGNITE XE,36341,Petrol,1st owner,Manual,5.4,10557,New Delhi
2019,Tata,Tata Harrier XZ 2.0L DARK EDITION,56690,Diesel,2nd owner,Manual,10.26,22308,New Delhi
2021,Nissan,Nissan MAGNITE XE,30639,Petrol,1st owner,Manual,4.97,9722,New Delhi
2020,Volkswagen,Volkswagen Polo TRENDLINE 1.0L,33419,Petrol,1st owner,Manual,5.2,10166,New Delhi
2020,Renault,Renault TRIBER RXZ,34727,Petrol,1st owner,Manual,5.94,11618,New Delhi
2018,Maruti,Maruti Ciaz DELTA AT 1.5 SHVS PETROL,45396,Petrol,2nd owner,Automatic,6.47,12649,New Delhi
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,28221,Petrol,1st owner,Automatic,4.42,8641,New Delhi
2022,Maruti,Maruti XL6 ALPHA PLUS MT,43851,Petrol,1st owner,Manual,11.25,21413,New Delhi
2020,Hyundai,Hyundai NEW SANTRO SPORTZ CNG,63272,CNG,1st owner,Manual,5.04,9845,New Delhi
2019,Maruti,Maruti Ciaz ALPHA 1.5 SHVS PETROL,59733,Petrol,1st owner,Manual,6.78,13255,New Delhi
